iter	Passed	Remaining
0	2613	520050
1	2825	279701
2	3043	199846
3	3253	159410
4	5913	230611
5	6125	198052
6	6339	174779
7	6550	157210
8	6760	143467
9	9440	179369
10	9649	165799
11	9857	154426
12	10069	144840
13	10278	136555
14	12901	159121
15	13108	150751
16	13319	143383
17	13525	136761
18	13732	130824
19	16358	147228
20	16570	141243
21	16782	135784
22	16998	130813
23	17211	126214
24	19842	138895
25	20051	134190
26	20263	129834
27	20475	125779
28	20686	121976
29	23300	132035
30	23513	128186
31	23724	124553
32	23933	121118
33	26586	129805
34	26799	126342
35	27014	123064
36	27228	119951
37	27441	116987
38	30095	124238
39	30307	121228
40	30518	118352
41	30727	115592
42	30939	112965
43	33608	119158
44	33819	116489
45	34032	113936
46	34243	111475
47	34458	109118
48	37073	114246
49	37285	111855
50	37496	109548
51	37713	107339
52	37923	105183
53	40541	109613
54	40748	107428
55	40958	105322
56	41166	103277
57	43803	107242
58	44019	105199
59	44233	103210
60	44443	101273
61	44656	99396
62	47331	102926
63	47541	101026
64	47753	99179
65	47965	97384
66	48175	95631
67	50817	98645
68	51026	96876
69	51238	95156
70	51447	93474
71	51658	91837
72	54303	94473
73	54514	92821
74	54721	91202
75	54928	89620
76	55140	88081
77	57707	90260
78	57920	88714
79	58133	87199
80	58345	85717
81	60974	87744
82	61183	86246
83	61392	84779
84	61603	83345
85	61817	81943
86	64478	83748
87	64688	82330
88	64896	80938
89	65109	79578
90	65322	78243
91	68011	79839
92	68224	78495
93	68440	77177
94	68657	75884
95	68869	74608
96	71523	75947
97	71736	74664
98	71955	73408
99	72172	72172
100	74808	73326
101	75026	72083
102	75247	70863
103	75463	69658
104	75692	68483
105	78361	69490
106	78571	68290
107	78784	67112
108	79000	65954
109	79211	64809
110	81872	65645
111	82086	64496
112	82306	63368
113	82530	62260
114	85307	63053
115	85518	61927
116	85749	60830
117	85984	59752
118	86210	58680
119	88886	59257
120	89106	58177
121	89335	57116
122	89544	56056
123	92206	56513
124	92445	55467
125	92683	54433
126	92922	53411
127	93171	52408
128	93389	51400
129	93607	50404
130	93828	49420
131	94043	48446
132	94266	47487
133	94648	46617
134	94894	45690
135	95135	44769
136	95385	43863
137	95635	42966
138	95875	42074
139	96101	41186
140	96319	40303
141	96547	39434
142	96774	38574
143	97013	37727
144	97255	36889
145	97490	36058
146	97732	35237
147	97994	34430
148	98228	33621
149	98465	32821
150	98694	32026
151	98910	31234
152	99128	30451
153	99350	29676
154	99577	28909
155	99790	28146
156	100021	27394
157	100236	26645
158	100461	25905
159	100719	25179
160	100965	24457
161	101216	23742
162	101453	23029
163	101707	22326
164	101929	21621
165	102168	20926
166	102416	20237
167	102687	19559
168	102913	18877
169	103145	18202
170	103374	17531
171	103615	16867
172	103863	16209
173	104103	15555
174	104342	14906
175	104568	14259
176	104829	13621
177	105124	12992
178	105426	12368
179	105734	11748
180	106059	11133
181	106402	10523
182	106736	9915
183	107041	9307
184	107396	8707
185	107685	8105
186	107952	7504
187	108220	6907
188	108480	6313
189	108733	5722
190	108996	5135
191	109257	4552
192	109522	3972
193	109786	3395
194	110054	2821
195	110312	2251
196	110577	1683
197	110841	1119
198	111099	558
199	111363	0
